trperiod,NewCases
22,2
23,24
24,7
25,9
26,46
27,366
28,2249
29,6427
30,16470
31,26177
32,27036
33,27354
34,27950
35,26740
36,18900
37,16668
38,13777
39,9409
40,7492
41,6532
42,5786
43,4482
44,3877
45,3906
46,4165
47,4708
48,5163
49,6015
50,7033
51,6944
52,8212
53,15569
54,19476
55,26912
56,40313
57,71088
58,92818
59,103536
60,131334
61,132790
62,149954
63,153781
64,115384
65,88493
66,90142
67,126230
68,204727
69,246492
70,361933
71,345058
72,274708
73,205349
74,149626
75,109494
76,77764
77,68384
78,47616
79,34718
80,33439
81,32801
82,31370
83,19374
84,16982
85,14123
86,13609
87,12172
88,13110
89,12229
90,14236
91,19787
92,31431
93,45063
94,61123
95,99950
96,159682
97,207845
98,311188
99,203144
100,164018
101,175638
102,180306
103,192942
104,176415
105,196290
106,166974
107,160416
108,195669
109,192790
110,221905
111,269505
112,270710
113,238533
114,198142
115,228134
116,251245
117,256814
118,293446
119,331333
120,602938
121,798599
122,895666
